Kasımda aylık bazda: 1 defa bulunmaktadır
aylık bazda ihracat: 1 defa bulunmaktadır
bazda ihracat rekoru: 1 defa bulunmaktadır
ihracat rekoru kırıldı!: 1 defa bulunmaktadır
rekoru kırıldı! Kasım: 1 defa bulunmaktadır
kırıldı! Kasım ayında: 1 defa bulunmaktadır
Kasım ayında ihracat: 1 defa bulunmaktadır
ayında ihracat yüzde: 1 defa bulunmaktadır
ihracat yüzde 24,8: 2 defa bulunmaktadır
yüzde 24,8 artarak: 2 defa bulunmaktadır
24,8 artarak 13,8: 1 defa bulunmaktadır
artarak 13,8 milyar: 1 defa bulunmaktadır
13,8 milyar dolar,: 1 defa bulunmaktadır
milyar dolar, ithalat: 1 defa bulunmaktadır
dolar, ithalat ise: 1 defa bulunmaktadır
ithalat ise yüzde: 1 defa bulunmaktadır
ise yüzde 12,5: 1 defa bulunmaktadır
yüzde 12,5 artarak: 2 defa bulunmaktadır
12,5 artarak 21: 1 defa bulunmaktadır
artarak 21 milyar: 1 defa bulunmaktadır
21 milyar dolara: 1 defa bulunmaktadır
milyar dolara yaklaştı.: 1 defa bulunmaktadır
dolara yaklaştı. Kasım: 1 defa bulunmaktadır
yaklaştı. Kasım ayında: 1 defa bulunmaktadır
Kasım ayında en: 2 defa bulunmaktadır
ayında en büyük: 1 defa bulunmaktadır
en büyük ihracat: 2 defa bulunmaktadır
büyük ihracat kalemleri: 1 defa bulunmaktadır
ihracat kalemleri arasında: 1 defa bulunmaktadır
kalemleri arasında 1,2: 1 defa bulunmaktadır
arasında 1,2 milyar: 1 defa bulunmaktadır
1,2 milyar dolar: 1 defa bulunmaktadır
milyar dolar ile: 1 defa bulunmaktadır
dolar ile kıymetli: 1 defa bulunmaktadır
ile kıymetli taşlar: 1 defa bulunmaktadır
kıymetli taşlar ve: 1 defa bulunmaktadır
taşlar ve metaller: 1 defa bulunmaktadır
ve metaller ikinci: 1 defa bulunmaktadır
metaller ikinci sırada: 1 defa bulunmaktadır
ikinci sırada yer: 1 defa bulunmaktadır
sırada yer aldı.: 2 defa bulunmaktadır
yer aldı. Kasım: 1 defa bulunmaktadır
aldı. Kasım ayına: 1 defa bulunmaktadır
Kasım ayına ait: 1 defa bulunmaktadır
ayına ait Dış: 1 defa bulunmaktadır
ait Dış Ticaret: 1 defa bulunmaktadır
Dış Ticaret İstatistikleri: 1 defa bulunmaktadır
Ticaret İstatistikleri yayımlandı.: 1 defa bulunmaktadır
İstatistikleri yayımlandı. Türkiye: 1 defa bulunmaktadır
yayımlandı. Türkiye İstatistik: 1 defa bulunmaktadır
Türkiye İstatistik Kurumu: 1 defa bulunmaktadır
İstatistik Kurumu ile: 1 defa bulunmaktadır
Kurumu ile Gümrük: 1 defa bulunmaktadır
ile Gümrük ve: 1 defa bulunmaktadır
Gümrük ve Ticaret: 1 defa bulunmaktadır
ve Ticaret Bakanlığı: 1 defa bulunmaktadır
Ticaret Bakanlığı işbirliğiyle: 1 defa bulunmaktadır
Bakanlığı işbirliğiyle oluşturulan: 1 defa bulunmaktadır
