ab		Köken
aba		Ad
aba gibi		Ön ad
abacı		Ad
abacılık		Ad
abadi		Ad
abajur		Ad
abajurcu		Ad
abajurculuk		Ad
abajurlu		Ön ad
abajursuz		Ön ad
abaküs		Ad
abalı		Ön ad
abandırabilmek		Eylem (çekilmiş)
abandırıvermek		Eylem (çekilmiş)
abandırma		Ad
abandırmak		Eylem
abandone		Ad
abanış		Ad
abanıvermek		Eylem (çekilmiş)
abani		Ad
abanmak		Eylem
abanoz		Ad
abanoz gibi		Deyim
abanoz kesilmek		Eylem
abanozgiller		Ad
abanozlaşma		Ad
abanozlaşmak		Eylem
abartabilmek		Eylem (çekilmiş)
abartı		Ad
abartıcı		Ad
abartıcılık		Ad
abartılabilmek		Eylem (çekilmiş)
abartılı		Belirteç
abartılma		Ad
abartılmak		Eylem
abartısız		Ön ad
abartısızlık		Ad
abartma		Ad
abartmacı		Ad
abartmacılık		Ad
abartmak		Eylem
abartmalı		Ön ad
abartmasız		Ön ad
abaşo		Ad
abat		Ön ad
abat olmak		Eylem
Abaza		Özel ad
abazan		Ön ad
abazan kalmak		Eylem
abazanlaşma		Ad
abazanlaşmak		Eylem
abazanlık		Ad
Abdal		Özel ad
abdallık		Ad
abdest		Ad
abdest almak		Eylem
abdest bozmak		Eylem
abdest tazelemek		Eylem
abdestbozan		Ad
abdestbozan otu		Ad
abdesthane		Ad
abdestini vermek		Eylem
abdestli		Ön ad
abdestlik		Ad
abdestlilik		Ad
abdestsiz		Ön ad
abdestsiz yere basmamak		Deyim
abdestsizlik		Ad
abdiaciz		Ad
abdülleziz		Ad
abe		Ünlem
abece		Ad
abecesel		Ön ad
aberasyon		Ad
abes		Ön ad
abes bulmak		Eylem
abeslik		Ad
Abhaz		Özel ad
Abhazca		Özel ad
abıhayat		Ad
abıkevser		Ad
abi		Ad
abide		Ad
abideleşme		Ad
abideleşmek		Eylem
abideleştirilmek		Eylem (çekilmiş)
abideleştirme		Ad
abideleştirmek		Eylem
abidemsi		Ön ad
abidevi		Ön ad
abidik gubidik		Ön ad
abis		Ad
abiye		Ad
abla		Ad
ablacılık		Ad
ablak		Ön ad
ablakça		Ön ad
ablaklık		Ad
ablalık		Ad
ablatif		Ad
ablatya		Ad
ablavut		Ad
abli		Ad
abluka		Ad
abone		Ad
abone etmek		Eylem
abone olmak		Eylem
abonelik		Ad
abonman		Ad
aborda		Ad
aborda etmek		Eylem
abosa		Ad
abra		Ad
abrakadabra		Ad
abramak		Eylem
abraş		Ad
absent		Ön ad
absorbe etmek		Eylem
absorbe olmak		Eylem
abstraksiyon		Ad
abstraksiyonizm		Ad
abstre		Ön ad
abstre sanat		Ad
abuhava		Ad
abuk sabuk		Yanlış
abuk subuk		Ön ad
abuklamak		Eylem (basit)
abuklaşmak		Eylem (basit)
abuklaştırmak		Eylem (basit)
abuli		Ad
abullabut		Ön ad
